<bound method BCELoss.__name__ of BCELoss()>,iou_score
0.8967431320084466,0.3344348867734273
0.7583213382297093,0.4269166655010647
0.6841479937235514,0.5131022665235732
0.6483065485954285,0.5635554790496826
0.611794478363461,0.6204380922847323
0.5792426533169217,0.6781625350316366
0.5548608501752218,0.7185545100106133
0.5363279581069946,0.7364348570505778
0.512261708577474,0.7678913937674627
0.5003279381328158,0.7728921638594733
0.48498597741127014,0.7934011419614156
0.47974645098050434,0.7902512351671854
0.464622911479738,0.7974172366989983
0.44712051749229426,0.8159773879581027
0.4432106514771779,0.8126814232932197
0.4291914701461792,0.8217882182863023
0.4206000831392076,0.8273477289411757
0.41266081399387783,0.8254765868186951
0.4089570972654554,0.8210387892193265
0.4011261959870656,0.8184867170121933
0.38447205887900454,0.8383640779389275
0.3848128848605686,0.8251452777120802
0.37707607282532585,0.833467702070872
0.37953814864158625,0.8194759554333158
0.3657423125372993,0.8336038655704923
